prodi,kode_mk,nama_mata_kuliah,semester_mk,sks,metode
Ilmu Biomedis,BIM6063,Hematologi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM9016,Kanker: Patologi dan Molekuler (Molekuler Onkologi),Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,Kewirausahaan,Kewirausahaan,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,AND5036,Kewirausahaan,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM5242,Mikrobiologi Lanjut,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM9066,Teknik Kultur Sel dan Sel Punca,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM5202,Teknik Penulisan Ilmiah,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM9126,Animal Wellfare,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM6084,Biologi Kanker,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM9096,Dasar Lab. Forensik : From evidance to CSI,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM6073,Dasar Laboratorium Patologi dan Laboratorium Penyakit Degeneratif /NCD,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM7045,Kuliah Kerja Nyata ( KKN ),Ganjil 2024/2025,4,Biasa
Ilmu Komunikasi,MWU60102,Pancasila,Ganjil 2024/2025,2,Biasa
Ilmu Komunikasi,MWU60103,Kewarganegaraan,Ganjil 2024/2025,2,Biasa
Ilmu Komunikasi,ISF61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Ilmu Komunikasi,ISF61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Ilmu Komunikasi,ISF61103,Dasar-Dasar Logika,Ganjil 2024/2025,3,Biasa
Ilmu Komunikasi,ISF61104,Bahasa Inggris/ English for Communication,Ganjil 2024/2025,3,Biasa
